user_id,signup_week,event,ts,surface
u000001,2026-06-01,agent_open,2026-06-01T14:00:51.141Z,home
u000001,2026-06-01,intent_submit,2026-06-01T14:02:55.148Z,srp
u000001,2026-06-01,candidates_view,2026-06-01T14:05:12.676Z,plp
u000001,2026-06-01,compare_view,2026-06-01T14:05:53.207Z,plp
u000001,2026-06-01,add_to_cart,2026-06-01T14:06:45.212Z,pdp
u000001,2026-06-01,checkout,2026-06-01T14:07:59.673Z,checkout
u000002,2026-06-01,agent_open,2026-06-01T13:30:20.957Z,home
u000002,2026-06-01,intent_submit,2026-06-01T13:32:58.344Z,srp
u000002,2026-06-01,candidates_view,2026-06-01T13:35:20.669Z,plp
u000002,2026-06-01,compare_view,2026-06-01T13:36:25.215Z,plp
u000002,2026-06-01,add_to_cart,2026-06-01T13:36:57.752Z,pdp
u000002,2026-06-01,repurchase,2026-06-12T10:24:37.520Z,pdp
u000002,2026-06-01,repurchase,2026-06-16T01:02:45.240Z,pdp
u000003,2026-06-01,agent_open,2026-06-01T11:49:19.936Z,home
u000003,2026-06-01,repurchase,2026-06-19T06:19:43.891Z,pdp
u000004,2026-06-01,agent_open,2026-06-01T14:23:37.336Z,home
u000004,2026-06-01,intent_submit,2026-06-01T14:24:48.623Z,srp
u000004,2026-06-01,candidates_view,2026-06-01T14:27:29.430Z,plp
u000004,2026-06-01,compare_view,2026-06-01T14:28:28.084Z,plp
u000004,2026-06-01,add_to_cart,2026-06-01T14:30:42.445Z,pdp
u000004,2026-06-01,checkout,2026-06-01T14:32:32.559Z,checkout
u000004,2026-06-01,repurchase,2026-06-19T15:07:51.948Z,pdp
u000005,2026-06-01,agent_open,2026-06-01T10:33:17.072Z,home
u000005,2026-06-01,intent_submit,2026-06-01T10:35:17.314Z,srp
u000005,2026-06-01,candidates_view,2026-06-01T10:37:13.526Z,plp
u000005,2026-06-01,compare_view,2026-06-01T10:37:59.313Z,plp
u000005,2026-06-01,repurchase,2026-06-11T00:22:52.168Z,pdp
u000006,2026-06-01,agent_open,2026-06-01T15:16:11.081Z,home
u000006,2026-06-01,intent_submit,2026-06-01T15:16:21.327Z,srp
u000006,2026-06-01,candidates_view,2026-06-01T15:17:23.598Z,plp
u000006,2026-06-01,compare_view,2026-06-01T15:20:10.807Z,plp
u000006,2026-06-01,add_to_cart,2026-06-01T15:22:56.320Z,pdp
u000006,2026-06-01,checkout,2026-06-01T15:25:26.362Z,checkout
u000006,2026-06-01,repurchase,2026-06-26T01:51:46.026Z,pdp
u000007,2026-06-01,agent_open,2026-06-01T12:41:39.588Z,home
u000007,2026-06-01,intent_submit,2026-06-01T12:41:45.762Z,srp
u000007,2026-06-01,candidates_view,2026-06-01T12:42:58.560Z,plp
u000008,2026-06-01,agent_open,2026-06-01T15:45:05.502Z,home
u000008,2026-06-01,intent_submit,2026-06-01T15:47:33.009Z,srp
u000008,2026-06-01,candidates_view,2026-06-01T15:49:28.514Z,plp
u000008,2026-06-01,compare_view,2026-06-01T15:49:32.514Z,plp
u000008,2026-06-01,add_to_cart,2026-06-01T15:52:20.956Z,pdp
u000008,2026-06-01,checkout,2026-06-01T15:55:01.804Z,checkout
u000009,2026-06-01,agent_open,2026-06-01T10:17:36.814Z,home
u000009,2026-06-01,intent_submit,2026-06-01T10:19:45.682Z,srp
u000009,2026-06-01,candidates_view,2026-06-01T10:20:26.846Z,plp
u000009,2026-06-01,compare_view,2026-06-01T10:22:41.698Z,plp
u000009,2026-06-01,add_to_cart,2026-06-01T10:23:54.466Z,pdp
u000010,2026-06-01,agent_open,2026-06-01T14:59:43.571Z,home
u000010,2026-06-01,intent_submit,2026-06-01T15:00:29.587Z,srp
u000010,2026-06-01,candidates_view,2026-06-01T15:02:07.923Z,plp
u000010,2026-06-01,compare_view,2026-06-01T15:03:41.355Z,plp
u000010,2026-06-01,add_to_cart,2026-06-01T15:05:06.109Z,pdp
u000011,2026-06-01,agent_open,2026-06-01T10:25:20.993Z,home
u000011,2026-06-01,intent_submit,2026-06-01T10:28:03.130Z,srp
u000011,2026-06-01,candidates_view,2026-06-01T10:29:53.842Z,plp
u000011,2026-06-01,compare_view,2026-06-01T10:31:45.764Z,plp
u000011,2026-06-01,repurchase,2026-06-10T15:40:25.474Z,pdp
u000011,2026-06-01,repurchase,2026-06-19T02:13:36.880Z,pdp
u000011,2026-06-01,repurchase,2026-06-24T05:52:58.412Z,pdp
u000012,2026-06-01,agent_open,2026-06-01T15:18:46.240Z,home
u000012,2026-06-01,intent_submit,2026-06-01T15:19:06.024Z,srp
u000012,2026-06-01,candidates_view,2026-06-01T15:19:36.242Z,plp
u000013,2026-06-01,agent_open,2026-06-01T14:50:41.295Z,home
u000013,2026-06-01,intent_submit,2026-06-01T14:52:22.966Z,srp
u000013,2026-06-01,candidates_view,2026-06-01T14:54:21.481Z,plp
u000013,2026-06-01,repurchase,2026-06-30T20:52:39.087Z,pdp
u000014,2026-06-01,agent_open,2026-06-01T11:45:27.908Z,home
u000014,2026-06-01,intent_submit,2026-06-01T11:48:04.276Z,srp
u000014,2026-06-01,candidates_view,2026-06-01T11:50:16.753Z,plp
u000014,2026-06-01,compare_view,2026-06-01T11:51:26.029Z,plp
u000014,2026-06-01,add_to_cart,2026-06-01T11:52:27.705Z,pdp
u000014,2026-06-01,checkout,2026-06-01T11:53:11.513Z,checkout
u000014,2026-06-01,repurchase,2026-06-24T19:24:42.872Z,pdp
u000015,2026-06-01,agent_open,2026-06-01T11:28:34.547Z,home
u000015,2026-06-01,intent_submit,2026-06-01T11:30:52.771Z,srp
u000015,2026-06-01,candidates_view,2026-06-01T11:31:15.810Z,plp
u000015,2026-06-01,repurchase,2026-06-09T23:36:34.155Z,pdp
u000015,2026-06-01,repurchase,2026-07-01T07:59:36.546Z,pdp
u000016,2026-06-01,agent_open,2026-06-01T10:42:39.998Z,home
u000016,2026-06-01,intent_submit,2026-06-01T10:43:33.684Z,srp
u000016,2026-06-01,candidates_view,2026-06-01T10:44:56.420Z,plp
u000016,2026-06-01,compare_view,2026-06-01T10:46:29.345Z,plp
u000016,2026-06-01,add_to_cart,2026-06-01T10:48:01.678Z,pdp
u000016,2026-06-01,checkout,2026-06-01T10:48:50.582Z,checkout
u000016,2026-06-01,repurchase,2026-06-09T20:48:38.383Z,pdp
u000017,2026-06-01,agent_open,2026-06-01T14:05:59.690Z,home
u000017,2026-06-01,intent_submit,2026-06-01T14:06:31.641Z,srp
u000017,2026-06-01,candidates_view,2026-06-01T14:09:03.531Z,plp
u000017,2026-06-01,compare_view,2026-06-01T14:09:53.047Z,plp
u000017,2026-06-01,add_to_cart,2026-06-01T14:09:59.438Z,pdp
u000017,2026-06-01,checkout,2026-06-01T14:11:37.307Z,checkout
u000017,2026-06-01,repurchase,2026-06-27T00:28:07.309Z,pdp
u000018,2026-06-01,agent_open,2026-06-01T15:02:08.570Z,home
u000018,2026-06-01,intent_submit,2026-06-01T15:04:09.633Z,srp
u000018,2026-06-01,candidates_view,2026-06-01T15:05:15.022Z,plp
u000018,2026-06-01,compare_view,2026-06-01T15:06:53.755Z,plp
u000018,2026-06-01,add_to_cart,2026-06-01T15:08:48.312Z,pdp
u000018,2026-06-01,repurchase,2026-06-11T03:13:14.831Z,pdp
u000018,2026-06-01,repurchase,2026-06-18T19:35:07.766Z,pdp
u000018,2026-06-01,repurchase,2026-06-29T23:24:33.235Z,pdp
u000019,2026-06-01,agent_open,2026-06-01T15:13:13.101Z,home
u000019,2026-06-01,intent_submit,2026-06-01T15:15:21.885Z,srp
u000019,2026-06-01,candidates_view,2026-06-01T15:17:23.066Z,plp
u000019,2026-06-01,compare_view,2026-06-01T15:20:14.940Z,plp
u000019,2026-06-01,add_to_cart,2026-06-01T15:21:43.789Z,pdp
u000019,2026-06-01,repurchase,2026-06-09T02:46:50.398Z,pdp
u000019,2026-06-01,repurchase,2026-07-03T05:29:04.531Z,pdp
u000020,2026-06-01,agent_open,2026-06-01T14:47:15.493Z,home
u000020,2026-06-01,intent_submit,2026-06-01T14:49:10.346Z,srp
u000020,2026-06-01,candidates_view,2026-06-01T14:49:49.510Z,plp
u000020,2026-06-01,compare_view,2026-06-01T14:50:38.722Z,plp
u000020,2026-06-01,add_to_cart,2026-06-01T14:51:35.765Z,pdp
u000020,2026-06-01,checkout,2026-06-01T14:51:53.084Z,checkout
u000020,2026-06-01,repurchase,2026-06-10T18:35:07.052Z,pdp
u000020,2026-06-01,repurchase,2026-06-22T17:04:07.393Z,pdp
u000021,2026-06-01,agent_open,2026-06-01T12:45:17.614Z,home
u000022,2026-06-01,agent_open,2026-06-01T11:42:11.399Z,home
u000022,2026-06-01,intent_submit,2026-06-01T11:43:55.717Z,srp
u000022,2026-06-01,candidates_view,2026-06-01T11:46:14.938Z,plp
u000022,2026-06-01,compare_view,2026-06-01T11:47:06.155Z,plp
u000022,2026-06-01,repurchase,2026-06-08T10:44:21.135Z,pdp
u000023,2026-06-01,agent_open,2026-06-01T14:01:38.105Z,home
u000023,2026-06-01,intent_submit,2026-06-01T14:02:09.013Z,srp
u000023,2026-06-01,candidates_view,2026-06-01T14:04:18.479Z,plp
u000023,2026-06-01,compare_view,2026-06-01T14:06:42.604Z,plp
u000023,2026-06-01,add_to_cart,2026-06-01T14:07:34.017Z,pdp
u000023,2026-06-01,checkout,2026-06-01T14:10:16.995Z,checkout
u000024,2026-06-01,agent_open,2026-06-01T14:19:54.155Z,home
u000024,2026-06-01,intent_submit,2026-06-01T14:22:27.287Z,srp
u000024,2026-06-01,candidates_view,2026-06-01T14:23:07.973Z,plp
u000024,2026-06-01,compare_view,2026-06-01T14:24:20.346Z,plp
u000024,2026-06-01,add_to_cart,2026-06-01T14:25:18.671Z,pdp
u000024,2026-06-01,checkout,2026-06-01T14:27:05.708Z,checkout
u000024,2026-06-01,repurchase,2026-06-17T02:11:29.887Z,pdp
u000025,2026-06-01,agent_open,2026-06-01T13:07:18.277Z,home
u000025,2026-06-01,intent_submit,2026-06-01T13:07:51.033Z,srp
u000025,2026-06-01,candidates_view,2026-06-01T13:08:36.188Z,plp
u000025,2026-06-01,compare_view,2026-06-01T13:10:34.780Z,plp
u000025,2026-06-01,repurchase,2026-07-02T18:08:01.077Z,pdp
u000026,2026-06-01,agent_open,2026-06-01T11:52:37.408Z,home
u000026,2026-06-01,intent_submit,2026-06-01T11:54:29.039Z,srp
u000026,2026-06-01,candidates_view,2026-06-01T11:57:17.274Z,plp
u000026,2026-06-01,compare_view,2026-06-01T11:59:06.630Z,plp
