txn_id,user_id,txn_date,category,amount,merchant_type
T00020,U0069,2026-08-01,식비,4800,마트형
T00032,U0428,2026-08-01,식비,17800,마트형
T00047,U0469,2026-08-01,식비,4900,일반음식점형
T00058,U0465,2026-08-01,식비,27300,일반음식점형
T00076,U0494,2026-08-01,공과금,50900,전기요금형
T00199,U0084,2026-08-01,저축,50000,자동이체저축형
T00222,U0489,2026-08-01,식비,41800,일반음식점형
T00228,U0214,2026-08-01,구독,7700,생산성앱구독형
T00235,U0472,2026-08-01,공과금,111900,통신요금형
T00240,U0208,2026-08-01,식비,21200,마트형
T00245,U0288,2026-08-01,교통,27950,대중교통형
T00259,U0024,2026-08-01,공과금,20300,관리비형
T00326,U0444,2026-08-01,쇼핑,43000,패션형
T00384,U0156,2026-08-01,공과금,114800,전기요금형
T00385,U0299,2026-08-01,여가,76100,헬스장형
T00407,U0054,2026-08-01,식비,5100,일반음식점형
T00441,U0121,2026-08-01,여가,13500,헬스장형
T00446,U0419,2026-08-01,교통,8950,공유모빌리티형
T00503,U0156,2026-08-01,쇼핑,9800,온라인쇼핑형
T00541,U0086,2026-08-01,식비,4500,마트형
T00557,U0397,2026-08-01,저축,60000,수시입금저축형
T00565,U0034,2026-08-01,식비,36400,마트형
T00567,U0123,2026-08-01,식비,32100,편의점형
T00005,U0309,2026-08-02,구독,5000,음악구독형
T00008,U0115,2026-08-02,구독,5000,클라우드구독형
T00016,U0087,2026-08-02,교통,17500,공유모빌리티형
T00018,U0433,2026-08-02,공과금,19900,가스요금형
T00046,U0402,2026-08-02,여가,9100,취미클래스형
T00054,U0011,2026-08-02,교통,24300,공유모빌리티형
T00071,U0313,2026-08-02,식비,16000,카페형
T00103,U0477,2026-08-02,여가,23300,취미클래스형
T00135,U0235,2026-08-02,쇼핑,22500,패션형
T00141,U0190,2026-08-02,저축,380000,자동이체저축형
T00150,U0455,2026-08-02,교통,13400,택시형
T00198,U0028,2026-08-02,식비,16700,배달앱형
T00215,U0192,2026-08-02,식비,6800,일반음식점형
T00218,U0298,2026-08-02,교통,12600,공유모빌리티형
T00236,U0428,2026-08-02,식비,26900,편의점형
T00311,U0097,2026-08-02,식비,7500,일반음식점형
T00424,U0395,2026-08-02,교통,4000,공유모빌리티형
T00439,U0057,2026-08-02,여가,41400,영화관형
T00449,U0354,2026-08-02,식비,9500,마트형
T00517,U0069,2026-08-02,식비,7800,일반음식점형
T00527,U0341,2026-08-02,식비,28900,마트형
T00532,U0437,2026-08-02,구독,6200,생산성앱구독형
T00555,U0193,2026-08-02,교통,1900,택시형
T00559,U0038,2026-08-02,공과금,59500,가스요금형
T00577,U0417,2026-08-02,여가,76400,공연형
T00027,U0170,2026-08-03,쇼핑,10600,패션형
T00059,U0096,2026-08-03,교통,18250,공유모빌리티형
T00089,U0028,2026-08-03,식비,8300,편의점형
T00137,U0353,2026-08-03,식비,4500,일반음식점형
T00156,U0166,2026-08-03,교통,4850,공유모빌리티형
T00157,U0380,2026-08-03,식비,21800,마트형
T00234,U0384,2026-08-03,공과금,27800,전기요금형
T00256,U0288,2026-08-03,식비,34000,카페형
T00282,U0295,2026-08-03,저축,170000,자동이체저축형
T00295,U0494,2026-08-03,식비,6900,카페형
T00369,U0483,2026-08-03,식비,22700,일반음식점형
T00372,U0447,2026-08-03,공과금,31300,통신요금형
T00453,U0339,2026-08-03,식비,35000,편의점형
T00469,U0312,2026-08-03,공과금,51800,가스요금형
T00472,U0317,2026-08-03,식비,12500,편의점형
T00505,U0198,2026-08-03,여가,20100,취미클래스형
T00509,U0327,2026-08-03,쇼핑,24900,온라인쇼핑형
T00564,U0473,2026-08-03,식비,26800,카페형
T00037,U0002,2026-08-04,식비,16100,배달앱형
T00118,U0457,2026-08-04,쇼핑,15500,온라인쇼핑형
T00208,U0009,2026-08-04,식비,4500,마트형
T00242,U0347,2026-08-04,여가,8300,공연형
T00262,U0290,2026-08-04,구독,5900,클라우드구독형
T00272,U0258,2026-08-04,여가,28100,취미클래스형
T00275,U0297,2026-08-04,교통,6650,대중교통형
T00304,U0173,2026-08-04,교통,14400,택시형
T00315,U0496,2026-08-04,쇼핑,96500,온라인쇼핑형
T00316,U0429,2026-08-04,식비,28300,편의점형
T00319,U0496,2026-08-04,식비,10300,편의점형
T00330,U0092,2026-08-04,식비,6300,편의점형
T00406,U0406,2026-08-04,쇼핑,12100,패션형
T00423,U0234,2026-08-04,교통,3100,대중교통형
T00428,U0104,2026-08-04,저축,50000,수시입금저축형
T00489,U0123,2026-08-04,구독,21600,OTT구독형
T00526,U0297,2026-08-04,구독,9900,생산성앱구독형
T00533,U0063,2026-08-04,쇼핑,126600,전자기기형
T00050,U0165,2026-08-05,교통,12850,택시형
T00072,U0232,2026-08-05,식비,4600,편의점형
T00083,U0206,2026-08-05,식비,26400,편의점형
T00100,U0064,2026-08-05,식비,6200,카페형
T00111,U0457,2026-08-05,식비,7600,편의점형
T00134,U0435,2026-08-05,저축,160000,자동이체저축형
T00179,U0340,2026-08-05,식비,23200,일반음식점형
T00190,U0323,2026-08-05,식비,39200,배달앱형
T00194,U0420,2026-08-05,식비,32900,일반음식점형
T00206,U0240,2026-08-05,교통,1400,공유모빌리티형
T00213,U0456,2026-08-05,식비,7500,배달앱형
T00250,U0449,2026-08-05,저축,50000,자동이체저축형
T00287,U0004,2026-08-05,식비,20500,배달앱형
T00341,U0167,2026-08-05,식비,31500,편의점형
T00352,U0292,2026-08-05,여가,50500,공연형
T00362,U0024,2026-08-05,교통,5400,대중교통형
T00378,U0037,2026-08-05,여가,84400,헬스장형
T00394,U0121,2026-08-05,식비,8900,배달앱형
T00412,U0436,2026-08-05,저축,320000,자동이체저축형
T00416,U0491,2026-08-05,교통,5850,택시형
T00456,U0440,2026-08-05,식비,15000,마트형
T00561,U0401,2026-08-05,공과금,29400,가스요금형
T00570,U0309,2026-08-05,교통,1250,대중교통형
T00575,U0435,2026-08-05,교통,9500,대중교통형
T00579,U0352,2026-08-05,식비,7900,마트형
T00585,U0118,2026-08-05,공과금,21300,통신요금형
T00597,U0293,2026-08-05,쇼핑,91100,온라인쇼핑형
T00010,U0056,2026-08-06,저축,150000,수시입금저축형
T00017,U0214,2026-08-06,식비,20200,편의점형
T00049,U0325,2026-08-06,식비,37200,카페형
T00125,U0419,2026-08-06,저축,490000,수시입금저축형
T00144,U0033,2026-08-06,저축,330000,수시입금저축형
T00168,U0472,2026-08-06,쇼핑,62700,전자기기형
T00186,U0306,2026-08-06,쇼핑,11100,패션형
T00207,U0341,2026-08-06,교통,4000,공유모빌리티형
T00233,U0443,2026-08-06,여가,46100,취미클래스형
T00246,U0175,2026-08-06,식비,16500,마트형
T00286,U0219,2026-08-06,식비,15900,마트형
T00323,U0153,2026-08-06,구독,5000,OTT구독형
T00357,U0035,2026-08-06,쇼핑,12300,패션형
